id_empresa,nombre_empresa,id_empresa_bandera,direccion,localidad,provincia,region,latitud,longitud
8554,SILVIO JOSE CASTAGNO,1,ESPAÑA 712,CALEUFU,LA PAMPA,Pampeana,-35.59821,-64.55888
8555,AXION ENERGY ARGENTINA SA,26,AV. DE LOS INCAS 3550 Y DELGADO,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.575093,-58.46287
8557,LA ROTONDA COMBUSTIBLES SRL,2,ASICLO MENDEZ Y GENERAL ARTIGAS,GUALEGUAYCHU,ENTRE RIOS,Centro,-33.022644,-58.534858
8558,JORGE TRAVANI Y CIA SRL,26,BERNARDO DE IRIGOYEN 1190,GRAL. RODRIGUEZ,BUENOS AIRES,Pampeana,-34.60967,-58.94728
8559,GRA-FER S.R.L.,28,ACCESO RUTA N°89 Y OBISPO JORGE GOTTAU 0,QUIMILI,SANTIAGO DEL ESTERO,Noroeste,-27.657092,-62.425121
8561,ZITO Y PRIOLA S.R.L.,2,CALLE 10 Y 50,SIERRAS BAYAS,BUENOS AIRES,Pampeana,-36.93393,-60.16303
8563,ZITO Y PRIOLA S.R.L.,2,Ruta 226 Km 284,HINOJO,BUENOS AIRES,Pampeana,-36.8773,-60.14396
8564,TOTALGNC SRL,26,Cno. Centenario 785,VILLA ELISA,BUENOS AIRES,Pampeana,-34.855344,-58.074867
8565,MARCELO GOTTIG Y CÍA. SOC.COL.,28,"Ruta Provincial Nº 32 Km.34,700",VIALE,ENTRE RIOS,Centro,-31.88017,-59.980414
8566,SAN VICENTE S.R.L.,2,Av. Enrique Perez 384,VILLA MERCEDES,SAN LUIS,Cuyo,-33.684711,-65.500071
8567,AXION ENERGY ARGENTINA SA,26,Avenida Rolon 29,SAN ISIDRO,BUENOS AIRES,Pampeana,-34.49434,-58.55147
8568,AXION ENERGY ARGENTINA SA,26,AV.ROLON 603,SAN ISIDRO,BUENOS AIRES,Pampeana,-34.49738,-58.55561
8569,AXION ENERGY ARGENTINA SA,26,AV. MITRE 852,CAMPANA,BUENOS AIRES,Pampeana,-34.163292,-58.960525
8570,AXION ENERGY ARGENTINA SA,26,AV. J. B. JUSTO 6065,MAR DEL PLATA,BUENOS AIRES,Pampeana,-37.99974,-57.5963
8571,AXION ENERGY ARGENTINA SA,26,AV. RIVADAVIA 975,CAMPANA,BUENOS AIRES,Pampeana,-34.17469,-58.96012
