Fecha,id_producto,Precio Ars,id_empresa,Cotizacion_DolarBlue,Precio_dolarBlue,Cotizacion_DolarOficial,Precio_dolarOficial
2016-10-22,6,8.2,7080,15.56,0.5269922737059923,15.4,0.532467545657159
2016-10-25,6,8.7,3568,15.61,0.5573350538978735,15.42,0.5642023318388312
2016-10-31,6,10.5,6433,15.56,0.6748071797454781,15.4,0.6818181987073377
2016-11-01,6,10.99,8708,15.43,0.7122488517588399,15.35,0.7159608942594523
2016-11-04,6,9.9,5253,15.42,0.642023343126946,15.29,0.6474820160038901
2016-11-09,6,10.68,6318,15.38,0.6944083173297317,15.2,0.7026315877642328
2016-11-12,6,11.99,6431,15.45,0.7760517895158662,15.48,0.7745478265219546
2016-11-12,6,11.99,8565,15.45,0.7760517895158662,15.48,0.7745478265219546
2016-11-12,6,11.99,2747,15.45,0.7760517895158662,15.48,0.7745478265219546
2016-11-13,6,9.0,1381,15.45,0.5825242790360964,15.48,0.5813953660298241
2016-11-15,3,22.89,6229,15.85,1.444164003097486,15.75,1.4533333333333334
2016-11-20,3,27.64,3729,15.85,1.743848538471582,15.7,1.7605095755280606
2016-11-20,2,24.34,3729,15.85,1.5356466507379996,15.7,1.5503184901719609
2016-11-20,19,20.54,3729,15.85,1.2958990224387226,15.7,1.3082802706709973
2016-11-30,19,17.86,2693,16.15,1.105882379062579,16.11,1.1086281392518362
2016-11-30,6,10.5,6433,16.15,0.6501548141185374,16.11,0.651769062830027
2016-12-01,6,8.65,1013,16.25,0.5323076923076924,16.11,0.5369335612837841
2016-12-01,6,8.9,1547,16.25,0.5476923076923077,16.11,0.5524518723035466
2016-12-01,6,9.25,4103,16.25,0.5692307692307692,16.11,0.5741775077312142
2016-12-13,6,8.59,3280,16.36,0.5250611051056316,16.24,0.5289408941542465
2016-12-20,6,12.0,8220,16.58,0.7237635738973932,16.11,0.7448789289486022
2016-12-23,6,8.99,2487,16.66,0.539615851280843,15.84,0.5675504995832492
2016-12-28,6,12.29,8274,16.8,0.7315476522694384,15.9,0.772955993387378
2016-12-28,6,12.29,3308,16.8,0.7315476522694384,15.9,0.772955993387378
2016-12-31,3,21.3,910,16.87,1.2625962620264997,16.17,1.3172541681819099
2016-12-31,19,16.87,1437,16.87,0.9999999502529131,16.17,1.0432900383675503
2016-12-31,21,19.54,2693,16.87,1.1582690591548264,16.17,1.2084106312804939
2016-12-31,19,16.87,1399,16.87,0.9999999502529131,16.17,1.0432900383675503
2016-12-31,21,19.5,7996,16.87,1.1558979863622885,16.17,1.2059369145327343
2016-12-31,21,19.5,830,16.87,1.1558979863622885,16.17,1.2059369145327343
2016-12-31,6,10.29,2693,16.87,0.6099584758804075,16.17,0.6363636333611198
2016-12-31,21,19.78,1437,16.87,1.1724954959100546,16.17,1.2232529317670506
